Permutation,Total_Weight,Number_of_Ballots
"('1.0', '2.0', '3.0', '4.0')",172869.0,26
"('4.0', '3.0', '2.0', '1.0')",172869.0,26
"('3.0', '2.0', '1.0', '4.0')",164292.0,26
"('4.0', '1.0', '2.0', '3.0')",164292.0,26
"('3.0', '1.0', '2.0', '4.0')",120295.0,26
"('4.0', '2.0', '1.0', '3.0')",120295.0,26
"('2.0', '1.0', '3.0', '4.0')",119553.0,26
"('4.0', '3.0', '1.0', '2.0')",119553.0,26
"('1.0', '3.0', '2.0', '4.0')",117277.0,26
"('4.0', '2.0', '3.0', '1.0')",117277.0,26
"('2.0', '3.0', '1.0', '4.0')",111631.0,26
"('4.0', '1.0', '3.0', '2.0')",111631.0,26
"('1.0', '2.0', '4.0', '3.0')",107215.0,26
"('3.0', '4.0', '2.0', '1.0')",107215.0,26
"('2.0', '1.0', '4.0', '3.0')",102167.0,26
"('3.0', '4.0', '1.0', '2.0')",102167.0,26
"('1.0', '4.0', '3.0', '2.0')",97862.0,26
"('2.0', '3.0', '4.0', '1.0')",97862.0,26
"('1.0', '4.0', '2.0', '3.0')",91433.0,26
"('3.0', '2.0', '4.0', '1.0')",91433.0,26
"('1.0', '3.0', '4.0', '2.0')",66106.0,26
"('2.0', '4.0', '3.0', '1.0')",66106.0,26
"('2.0', '4.0', '1.0', '3.0')",58302.0,26
"('3.0', '1.0', '4.0', '2.0')",58302.0,26
