Candidate_1,Candidate_2,Candidate_3,Candidate_4,Candidate_5,Weight
217572,219469,217796,219978,218491,246
219469,219978,218491,217572,217796,231
217572,217796,219978,219469,218491,231
219469,218491,219978,217572,217796,209
217572,219469,219978,217796,218491,207
219469,219978,217572,217796,218491,199
219978,219469,217572,217796,218491,197
219469,219978,218491,217796,217572,186
219469,218491,219978,217796,217572,173
219978,219469,218491,217572,217796,173
219469,219978,217572,218491,217796,168
217572,217796,219469,218491,219978,167
219469,217572,217796,219978,218491,166
217572,219978,217796,219469,218491,163
217572,219469,217796,218491,219978,161
217572,217796,219469,219978,218491,159
219978,217572,217796,219469,218491,155
217572,219469,218491,219978,217796,153
219469,219978,217796,217572,218491,152
219469,217572,217796,218491,219978,151
219978,219469,218491,217796,217572,150
217572,219469,219978,218491,217796,149
217572,219978,219469,217796,218491,147
219978,219469,217796,217572,218491,147
219469,219978,217796,218491,217572,147
217572,217796,219978,218491,219469,146
217572,219978,217796,218491,219469,137
219469,217572,219978,217796,218491,128
217572,219978,219469,218491,217796,128
217796,219978,217572,219469,218491,127
219978,219469,217572,218491,217796,119
219978,217796,217572,219469,218491,116
217572,217796,218491,219469,219978,115
219469,217796,217572,219978,218491,111
219469,217572,219978,218491,217796,108
217796,217572,219978,219469,218491,107
219978,219469,217796,218491,217572,103
217796,219978,219469,218491,217572,101
217572,219469,218491,217796,219978,100
219469,217572,218491,219978,217796,97
219978,217572,219469,217796,218491,96
219978,217796,219469,218491,217572,89
217796,219978,219469,217572,218491,89
219978,217572,219469,218491,217796,88
217796,217572,219469,219978,218491,87
219978,217796,219469,217572,218491,86
217572,217796,218491,219978,219469,80
219469,217796,219978,218491,217572,79
219469,218491,217572,219978,217796,79
219469,217572,218491,217796,219978,78
218491,219469,219978,217572,217796,76
217572,218491,219469,219978,217796,75
219978,217572,217796,218491,219469,75
219469,217796,219978,217572,218491,75
217796,217572,219469,218491,219978,74
217572,219978,218491,217796,219469,71
217572,219978,218491,219469,217796,70
217796,219469,217572,219978,218491,70
219469,217796,217572,218491,219978,69
217796,219978,217572,218491,219469,68
219469,218491,217572,217796,219978,67
217572,218491,219978,217796,219469,64
217796,219469,218491,219978,217572,61
217796,219978,218491,219469,217572,59
217796,217572,218491,219469,219978,58
217796,217572,219978,218491,219469,57
217796,219469,219978,217572,218491,56
217796,219469,219978,218491,217572,55
217572,218491,219469,217796,219978,55
219978,218491,219469,217572,217796,53
219469,218491,217796,219978,217572,53
217572,218491,217796,219978,219469,53
217796,219469,217572,218491,219978,52
219978,218491,219469,217796,217572,51
219978,217572,218491,219469,217796,50
219978,217796,217572,218491,219469,50
219469,217796,218491,219978,217572,46
218491,219469,219978,217796,217572,45
217572,218491,217796,219469,219978,45
217572,218491,219978,219469,217796,40
219469,218491,217796,217572,219978,37
219978,217572,218491,217796,219469,36
219978,217796,218491,219469,217572,36
218491,219978,217572,217796,219469,35
219469,217796,218491,217572,219978,33
217796,218491,219469,219978,217572,31
219978,218491,217796,217572,219469,30
218491,219469,217572,219978,217796,28
217796,217572,218491,219978,219469,27
217796,219978,218491,217572,219469,26
219978,218491,217572,217796,219469,26
218491,219978,219469,217572,217796,25
218491,219978,217796,219469,217572,23
218491,219469,217572,217796,219978,23
219978,218491,217796,219469,217572,22
217796,218491,219469,217572,219978,21
218491,219978,219469,217796,217572,20
217796,218491,219978,217572,219469,19
217796,218491,217572,219978,219469,19
218491,217572,217796,219978,219469,19
218491,217572,217796,219469,219978,18
219978,217796,218491,217572,219469,18
217796,219469,218491,217572,219978,17
218491,217572,219978,217796,219469,17
218491,219469,217796,217572,219978,17
217796,218491,219978,219469,217572,16
218491,217572,219469,219978,217796,15
219978,218491,217572,219469,217796,15
218491,217572,219469,217796,219978,14
218491,219978,217572,219469,217796,14
218491,217796,219978,217572,219469,14
218491,217572,219978,219469,217796,14
217796,218491,217572,219469,219978,14
218491,219978,217796,217572,219469,13
218491,219469,217796,219978,217572,12
218491,217796,217572,219978,219469,9
218491,217796,219978,219469,217572,8
218491,217796,217572,219469,219978,7
218491,217796,219469,219978,217572,6
218491,217796,219469,217572,219978,5
